date,regime,regime_name,growth_factor,inflation_factor,monetary_policy_factor,market_volatility_factor,erp,prob_R0,prob_R1,prob_R2,prob_R3
1993-02-01,2,High Growth / High Inflation,0.4815953484483826,0.1507803270534236,3.03,12.33,0.0082248512527878,0.17494509903618863,0.17513597609052986,0.4749801638923527,0.17493876098092884
1993-03-01,2,High Growth / High Inflation,-0.0873531980976505,0.2048766859644057,3.07,13.6,0.0159424665162164,0.17494632355544987,0.1751388021550461,0.47497535462917023,0.1749395196603339
1993-04-01,2,High Growth / High Inflation,0.2743160602107775,0.266414708570184,2.96,13.02,-0.0278616919898421,0.17494725158303387,0.1751405440585007,0.4749721845871584,0.17494001977130716
1993-05-01,2,High Growth / High Inflation,-0.3784401377208368,0.3089614261659434,3.0,12.9,0.0203139295816374,0.1749579222078525,0.17514284730474766,0.47495677866356906,0.1749424518238308
1993-06-01,2,High Growth / High Inflation,0.2255186465793812,0.0338810774182407,3.04,13.67,-0.0019936012770387,0.17494968384560125,0.17514094439294772,0.4749688209453127,0.17494055081613843
1993-07-01,2,High Growth / High Inflation,0.2696746193213917,0.160110845970296,3.06,11.51,-0.0079227224437727,0.17494337518946637,0.17513884083551606,0.47497880997873715,0.17493897399628044
1993-08-01,2,High Growth / High Inflation,-0.120574086248093,0.1706143654221614,3.03,11.47,0.0317304799632851,0.17494705159984866,0.17513699297260693,0.47497663792238304,0.17493931750516145
1993-09-01,2,High Growth / High Inflation,0.5305512966212289,0.1043424888752531,3.09,11.48,-0.0124980579068898,0.17494514693734656,0.17513245942142566,0.47498428202934206,0.17493811161188574
1993-10-01,2,High Growth / High Inflation,0.733038914392603,0.3142340353781581,2.99,11.83,0.0169361049823015,0.17495324985405078,0.1751234494006455,0.4749853565060085,0.17493794423929532
1993-11-01,2,High Growth / High Inflation,0.4569413629881946,0.1894778662347329,3.02,11.78,-0.015437112279053,0.17494668904944782,0.17511261136034112,0.475006014945307,0.1749346846449041
1993-12-01,2,High Growth / High Inflation,0.5922741331301662,0.0228773620876365,2.96,13.83,0.0073570499895849,0.17498988951134867,0.17506943603861236,0.47500597610801115,0.17493469834202777
1994-01-01,2,High Growth / High Inflation,0.2877812441767657,0.0335457900033642,3.05,12.57,0.0300817589187341,0.17498578465552855,0.17499896160855716,0.475094530887978,0.17492072284793633
1994-02-01,2,High Growth / High Inflation,0.0582901651454692,0.2316931894396745,3.25,10.65,-0.0325591573129598,0.17493418540746244,0.17495038258211487,0.47521349391643575,0.17490193809398705
1994-03-01,2,High Growth / High Inflation,1.0201575463503865,0.2752600523146187,3.34,15.83,-0.0490289803222462,0.1749342100398944,0.17490439110083453,0.4752680837444059,0.1748933151148652
1994-04-01,2,High Growth / High Inflation,0.5913554477638527,0.1182947358842501,3.56,23.87,0.0086763615113489,0.1748980796003369,0.17488241550725955,0.47533709235638916,0.17488241253601447
1994-05-01,2,High Growth / High Inflation,0.4601048425961096,0.1454214951147614,4.01,14.11,0.0088347741896821,0.17487779270041573,0.17487772492213113,0.4753667574730618,0.17487772490439135
1994-06-01,2,High Growth / High Inflation,0.6751136558680537,0.2435298210585301,4.25,12.72,-0.0305068982907092,0.17487772458725906,0.17487770916232873,0.47536685708820114,0.17487770916221104
1994-07-01,2,High Growth / High Inflation,0.1330389863973824,0.3153669724770491,4.26,14.36,0.0279470066956182,0.17487773260742956,0.17487771101530555,0.4753668453619594,0.17487771101530544
1994-08-01,2,High Growth / High Inflation,0.6704230927067067,0.2301409425249367,4.47,11.17,0.0333811322161841,0.17487770976304304,0.17487770573691372,0.4753668787631295,0.17487770573691372
1994-09-01,2,High Growth / High Inflation,0.3145485953005789,0.1110544166641691,4.73,11.86,-0.0308445350853255,0.17487770584471263,0.1748777048315478,0.47536688449219183,0.1748777048315478
1994-10-01,2,High Growth / High Inflation,0.8045120691220431,0.1693949751154333,4.76,15.44,0.0167767796876665,0.17487770621460277,0.17487770491701288,0.4753668839513714,0.17487770491701288
1994-11-01,2,High Growth / High Inflation,0.6835881660052667,0.1900600110743555,5.29,14.84,-0.0438381026049962,0.17487770457680774,0.17487770453859078,0.47536688634601065,0.17487770453859078
1994-12-01,2,High Growth / High Inflation,1.0218279603479097,0.0642289538149043,5.45,16.69,0.0074841734684498,0.17487770457464114,0.17487770453808782,0.4753668863491831,0.17487770453808782
1995-01-01,2,High Growth / High Inflation,0.1701982929575018,0.2030123449418441,5.53,14.25,0.0195834930595473,0.17487770453615253,0.1748777045292017,0.475366886405444,0.1748777045292017
1995-02-01,2,High Growth / High Inflation,-0.1128050577073547,0.1772759098425336,5.92,11.73,0.0315864599670581,0.17487770452772522,0.17487770452725382,0.4753668864177671,0.17487770452725382
1995-03-01,2,High Growth / High Inflation,0.1661680221370254,0.1843975849864731,5.98,11.65,0.0219208588186767,0.1748777045274063,0.17487770452718396,0.4753668864182257,0.17487770452718396
1995-04-01,2,High Growth / High Inflation,-0.1726234131196657,0.2627282173073952,6.05,13.5,0.0235495199071824,0.1748777045274232,0.17487770452718038,0.475366886418216,0.17487770452718038
1995-05-01,2,High Growth / High Inflation,0.4910926249013236,0.1539668675144767,6.01,12.14,0.0311940925532538,0.17487770452733173,0.17487770452715395,0.4753668864183604,0.17487770452715395
1995-06-01,2,High Growth / High Inflation,0.3314331723927699,0.0975595334880452,6.0,12.21,0.0163439898902195,0.17487770452741064,0.17487770452718307,0.47536688641822333,0.17487770452718307
1995-07-01,2,High Growth / High Inflation,-0.4181127385757377,0.1255223946719619,5.85,11.57,0.0273277834470575,0.17487770452908277,0.1748777045275617,0.4753668864157939,0.1748777045275617
1995-08-01,2,High Growth / High Inflation,1.3256420444688333,0.2153328810359456,5.74,13.56,-0.0054123724958117,0.17487770453269746,0.17487770452839915,0.4753668864105042,0.17487770452839915
1995-09-01,2,High Growth / High Inflation,0.4033288089442033,0.0691705421793198,5.8,11.29,0.035775985216244,0.17487770452845583,0.17487770452741966,0.47536688641670477,0.17487770452741966
1995-10-01,2,High Growth / High Inflation,-0.1757561088312487,0.2588425619530765,5.76,13.95,-0.009526100739381,0.17487770452985912,0.17487770452774076,0.4753668864146593,0.17487770452774076
1995-11-01,2,High Growth / High Inflation,0.2635472662998461,-0.0029337988294297,5.8,13.41,0.0364405152820546,0.17487770452974727,0.1748777045277187,0.47536688641481545,0.1748777045277187
1995-12-01,2,High Growth / High Inflation,0.347083386577518,0.1921694611920488,5.6,11.11,0.0132338946234429,0.17487770453104112,0.17487770452801715,0.47536688641292457,0.17487770452801715
1996-01-01,2,High Growth / High Inflation,-0.5723636015089628,0.2225475841874047,5.56,12.19,0.0283164957585351,0.1748777045484598,0.17487770453204535,0.4753668863874494,0.17487770453204535
1996-02-01,2,High Growth / High Inflation,1.4635221208469718,0.1577747910944893,5.22,12.65,0.0029862821491688,0.1748777047931976,0.17487770458859833,0.47536688602960564,0.17487770458859833
1996-03-01,2,High Growth / High Inflation,-0.1224292570634499,0.3019253208867978,5.31,16.72,0.0036599360737545,0.17487770461831134,0.1748777045481895,0.47536688628530965,0.1748777045481895
1996-04-01,2,High Growth / High Inflation,0.995039749949056,0.2995622900519246,5.22,17.9,0.0089803533930508,0.17487770473818104,0.17487770457588464,0.4753668861100497,0.17487770457588464
1996-05-01,2,High Growth / High Inflation,0.7473370902025378,0.1725312803560807,5.24,16.07,0.0183445058447471,0.1748777046138808,0.17487770454715845,0.47536688629180235,0.17487770454715845
1996-06-01,2,High Growth / High Inflation,0.7622281048073498,-0.0014473455682395,5.27,16.86,-0.0019034874734333,0.17487770470405817,0.17487770456799745,0.4753668861599469,0.17487770456799745
1996-07-01,2,High Growth / High Inflation,0.0153757855237079,0.2113155114269682,5.4,13.78,-0.0503836500201996,0.17487770455095417,0.17487770453261628,0.47536688638381325,0.17487770453261628
1996-08-01,2,High Growth / High Inflation,0.5118289203219328,0.0953247541054747,5.22,18.76,0.0142740029225494,0.17487770469062064,0.17487770456488938,0.4753668861796006,0.17487770456488938
1996-09-01,2,High Growth / High Inflation,0.6259139173877992,0.2828160397096768,5.3,18.47,0.0500383219038171,0.17487770461449528,0.1748777045473031,0.4753668862908985,0.1748777045473031
1996-10-01,2,High Growth / High Inflation,0.0296137890187786,0.3021626210449213,5.24,17.05,0.0216188200358298,0.17487770465256258,0.17487770455609528,0.4753668862352469,0.17487770455609528
