combination,K,regime,significant_variables
2vars_market_volatility_monetary_policy,5,0,vix=-0.0363 (p=0.001)
2vars_market_volatility_monetary_policy,5,1,export_price_index=0.0926 (p=0.049); vix=-0.0360 (p=0.000)
2vars_market_volatility_monetary_policy,5,2,nat_fin_condition_indx=0.0138 (p=0.048); vix=-0.0380 (p=0.000)
2vars_market_volatility_monetary_policy,5,3,vix=-0.0348 (p=0.000)
2vars_market_volatility_monetary_policy,5,4,vix=-0.0384 (p=0.000)
2vars_market_volatility_monetary_policy,6,0,vix=-0.0384 (p=0.000)
2vars_market_volatility_monetary_policy,6,1,vix=-0.0359 (p=0.001)
2vars_market_volatility_monetary_policy,6,2,vix=-0.0364 (p=0.003)
2vars_market_volatility_monetary_policy,6,3,vix=-0.0348 (p=0.000)
2vars_market_volatility_monetary_policy,6,4,vix=-0.0363 (p=0.003)
2vars_market_volatility_monetary_policy,6,5,vix=-0.0380 (p=0.000)
all_4vars,2,0,PCE_price_index=-0.5014 (p=0.039); cpi=0.5847 (p=0.016); export_price_index=0.0787 (p=0.007); nat_fin_condition_indx=0.0144 (p=0.002); vix=-0.0386 (p=0.000)
all_4vars,2,1,10y_treasury_const_maturity_rate=-0.0248 (p=0.015); cpi=0.4561 (p=0.036); export_price_index=0.0806 (p=0.001); nat_fin_condition_indx=0.0137 (p=0.005); vix=-0.0350 (p=0.000)
all_4vars,3,0,cpi=0.5322 (p=0.045); export_price_index=0.0695 (p=0.011); nat_fin_condition_indx=0.0124 (p=0.033); vix=-0.0350 (p=0.000)
all_4vars,3,1,export_price_index=0.0895 (p=0.016); nat_fin_condition_indx=0.0158 (p=0.020); vix=-0.0379 (p=0.000)
all_4vars,3,2,cpi=0.5775 (p=0.037); export_price_index=0.0770 (p=0.023); nat_fin_condition_indx=0.0139 (p=0.011); vix=-0.0379 (p=0.000)
all_4vars,4,0,vix=-0.0392 (p=0.000)
all_4vars,4,1,export_price_index=0.0843 (p=0.034); nat_fin_condition_indx=0.0145 (p=0.048); vix=-0.0370 (p=0.000)
all_4vars,4,2,export_price_index=0.0843 (p=0.012); vix=-0.0333 (p=0.000)
all_4vars,4,3,export_price_index=0.0771 (p=0.043); nat_fin_condition_indx=0.0138 (p=0.029); vix=-0.0379 (p=0.000)
all_4vars,5,0,vix=-0.0371 (p=0.000)
all_4vars,5,1,vix=-0.0374 (p=0.000)
all_4vars,5,2,vix=-0.0398 (p=0.000)
all_4vars,5,3,export_price_index=0.0842 (p=0.023); vix=-0.0334 (p=0.000)
all_4vars,5,4,vix=-0.0364 (p=0.001)
all_4vars,6,0,vix=-0.0384 (p=0.000)
all_4vars,6,1,vix=-0.0379 (p=0.000)
all_4vars,6,2,vix=-0.0363 (p=0.003)
all_4vars,6,3,vix=-0.0359 (p=0.001)
all_4vars,6,4,vix=-0.0364 (p=0.003)
all_4vars,6,5,vix=-0.0348 (p=0.000)
