combination,K,regime,variable,coefficient,t_statistic,p_value,n_observations
2vars_growth_monetary_policy,6,0,vix,-0.03322199925493797,-3.9849720748472333,0.0001762052844238582,356.0
2vars_growth_monetary_policy,6,1,vix,-0.03901331925375576,-3.940238604773595,0.00030505793339563603,356.0
2vars_growth_monetary_policy,6,2,vix,-0.03716204588174959,-3.382175760141682,0.001980414262359398,356.0
2vars_growth_monetary_policy,6,3,vix,-0.036387695110102494,-3.196980665874919,0.003231755752262977,356.0
2vars_growth_monetary_policy,6,4,vix,-0.037909095029800395,-4.479452136212365,4.0679829761414155e-05,356.0
2vars_growth_monetary_policy,6,5,vix,-0.036024056562205455,-3.768241176103867,0.0005171474891827454,356.0
2vars_inflation_market_volatility,2,0,PCE_price_index,-0.42320095557061793,-2.047615648856019,0.042121207629176594,356.0
2vars_inflation_market_volatility,2,0,cpi,0.5002702399774566,2.4068887931906775,0.017149680602209783,356.0
2vars_inflation_market_volatility,2,0,export_price_index,0.06527832342216648,2.966809056282511,0.003438407654622777,356.0
2vars_inflation_market_volatility,2,0,nat_fin_condition_indx,0.011933137695700577,2.5303046246809435,0.01229574521925958,356.0
2vars_inflation_market_volatility,2,0,vix,-0.03513462862519923,-7.6564014380798495,1.3276046928467622e-12,356.0
2vars_inflation_market_volatility,2,1,10y_treasury_const_maturity_rate,-0.03261168155546373,-2.412697573159615,0.017023242057179422,356.0
2vars_inflation_market_volatility,2,1,PPI_inflation,-0.1288553881956003,-2.092118194734777,0.038086705185830017,356.0
2vars_inflation_market_volatility,2,1,cpi,0.5046693262170525,2.093741686950114,0.037939555656832935,356.0
2vars_inflation_market_volatility,2,1,export_price_index,0.0912772535358449,3.2040068608280894,0.0016508475389624966,356.0
2vars_inflation_market_volatility,2,1,nat_fin_condition_indx,0.01562812121510014,3.34057164644017,0.0010515685678302855,356.0
2vars_inflation_market_volatility,2,1,vix,-0.03934673190470547,-7.4352257836058895,7.0468075819007936e-12,356.0
2vars_inflation_market_volatility,3,0,export_price_index,0.09340560684486793,2.9004439237559834,0.004509339341533414,356.0
2vars_inflation_market_volatility,3,0,nat_fin_condition_indx,0.017688828852447658,2.8558094639051954,0.005142211163869925,356.0
2vars_inflation_market_volatility,3,0,vix,-0.03927640535741781,-6.152102300496465,1.2966075324527537e-08,356.0
2vars_inflation_market_volatility,3,1,export_price_index,0.08228265301470751,2.030680106543025,0.04592956925360259,356.0
2vars_inflation_market_volatility,3,1,nat_fin_condition_indx,0.012857690565586678,2.0329787832354738,0.04569081070663161,356.0
2vars_inflation_market_volatility,3,1,vix,-0.037734733171368245,-5.157550490560012,2.067276012596153e-06,356.0
2vars_inflation_market_volatility,3,2,cpi,0.5179918396994946,2.1707166141499448,0.03182525109870471,356.0
2vars_inflation_market_volatility,3,2,export_price_index,0.06516061099006873,2.582963288243658,0.010936333732251668,356.0
2vars_inflation_market_volatility,3,2,nat_fin_condition_indx,0.01214562348361259,2.2533332203049334,0.025964983305672318,356.0
2vars_inflation_market_volatility,3,2,vix,-0.035315489006801856,-6.709264072851122,5.925191448596934e-10,356.0
2vars_inflation_market_volatility,4,0,cpi,0.5587889792425147,1.9951796812387037,0.04904228243874198,356.0
2vars_inflation_market_volatility,4,0,export_price_index,0.06831631547166102,2.2769705509661873,0.025153865656933005,356.0
2vars_inflation_market_volatility,4,0,vix,-0.034610679642487346,-5.569381765314313,2.615879040046565e-07,356.0
2vars_inflation_market_volatility,4,1,export_price_index,0.0824494496624226,2.136713937143189,0.036136928648930366,356.0
2vars_inflation_market_volatility,4,1,nat_fin_condition_indx,0.015385607196607675,2.070670471246411,0.04209898248564792,356.0
2vars_inflation_market_volatility,4,1,vix,-0.037178316452202965,-4.660646925724754,1.4717924948559613e-05,356.0
2vars_inflation_market_volatility,4,2,export_price_index,0.08446627588088039,2.2331021176718644,0.028472382020098497,356.0
2vars_inflation_market_volatility,4,2,nat_fin_condition_indx,0.015896989831845332,2.1718294322223213,0.032974482814685846,356.0
