date,regime,regime_name,prob_R0,prob_R1,prob_R2,prob_R3
2005-07-01,1,Overheating,0.029475520663955722,0.505276798002755,0.3803203928576582,0.08492728847563105
2005-08-01,2,Stagflation,0.028211845391627684,0.3781293387415866,0.5023675558899311,0.09129125997685474
2005-09-01,2,Stagflation,0.004953491901075524,0.4642239133187347,0.4871094666145794,0.04371312816561048
2005-10-01,3,Slowdown,0.07096769255112918,0.0800445207369658,0.373746596213925,0.47524119049798
2005-11-01,3,Slowdown,0.2546255479143669,0.065539884430641,0.31781952128335816,0.3620150463716338
2005-12-01,0,Goldilocks,0.6617767154137776,0.0753406003513257,0.11610307216804117,0.14677961206685566
2006-01-01,1,Overheating,0.041498932953286445,0.6933544579031237,0.2066534492893329,0.05849315985425696
2006-02-01,0,Goldilocks,0.579435333331489,0.09523672069389526,0.13732376456148898,0.18800418141312694
2006-03-01,2,Stagflation,0.07624505200139813,0.12246037270431538,0.4540184440948431,0.34727613119944345
2006-04-01,2,Stagflation,0.005666227349535848,0.06037476587025052,0.884813787453388,0.049145219326825584
2006-05-01,2,Stagflation,0.013999036322187856,0.04774387132983194,0.716953564803947,0.22130352754403318
2006-06-01,2,Stagflation,0.015347592887005173,0.04486081954101279,0.6332708663146945,0.30652072125728747
2006-07-01,2,Stagflation,0.008997188875845899,0.04162063791794607,0.8300230038654668,0.1193591693407413
2006-08-01,2,Stagflation,0.012995707124164743,0.05642208013363346,0.8337966475763843,0.09678556516581756
2006-09-01,3,Slowdown,0.22890701696230797,0.0548346907717362,0.2755196147391768,0.440738677526779
2006-10-01,3,Slowdown,0.2946321633096217,0.05519988402331236,0.22232023166690096,0.4278477210001649
2006-11-01,3,Slowdown,0.2073517009424665,0.06141421315935369,0.19271146742825615,0.5385226184699237
2006-12-01,2,Stagflation,0.017740941256130262,0.10200316665895792,0.7843818808199022,0.09587401126500958
2007-01-01,2,Stagflation,0.01098056581219327,0.05001616937844975,0.8269862712254059,0.11201699358395109
2007-02-01,2,Stagflation,0.01470561912252558,0.06102980914802534,0.8101741067802151,0.11409046494923408
2007-03-01,2,Stagflation,0.018784446809595755,0.12263142921814577,0.7631145570469845,0.09546956692527399
2007-04-01,2,Stagflation,0.0704642685269614,0.15576866118875768,0.5257635403937772,0.24800352989050378
2007-05-01,2,Stagflation,0.04841725832415351,0.1642969184016688,0.635998925529828,0.15128689774434972
2007-06-01,2,Stagflation,0.08160724738600303,0.1322751918656303,0.4833367352946928,0.30278082545367396
2007-07-01,3,Slowdown,0.10346549413749619,0.09909579761779055,0.3314296158127009,0.46600909243201233
2007-08-01,3,Slowdown,0.13750050322537127,0.062443133010558004,0.1889130738752037,0.6111432898888671
2007-09-01,2,Stagflation,0.032547476478376004,0.22272628071296002,0.651901656647089,0.09282458616157481
2007-10-01,2,Stagflation,0.04940359075618788,0.20736279099651952,0.6051273788220386,0.13810623942525393
2007-11-01,2,Stagflation,0.010305345401811026,0.11488656763260328,0.8088344555374907,0.0659736314280949
2007-12-01,3,Slowdown,0.015414718225989487,0.03701303487454554,0.4518869767870474,0.4956852701124176
2008-01-01,3,Slowdown,0.009482515486981357,0.02452150338973115,0.45284046134350836,0.5131555197797791
2008-02-01,3,Slowdown,0.016594726963114682,0.029751924913334872,0.4067283945209662,0.5469249536025842
2008-03-01,2,Stagflation,0.019234456334462684,0.05437610906594278,0.7416903356115285,0.18469909898806594
2008-04-01,2,Stagflation,0.10800143587852468,0.13171377917388027,0.395355583224118,0.3649292017234771
2008-05-01,2,Stagflation,0.011053677063316402,0.07047695248133806,0.8387572274776558,0.07971214297768965
2008-06-01,2,Stagflation,0.004221978894542057,0.0611120650475421,0.888806181517692,0.045859774540223816
2008-07-01,2,Stagflation,0.003807333346174385,0.022626791566226528,0.8457304156482985,0.12783545943930064
2008-08-01,3,Slowdown,0.005257202055526265,0.010390543166643819,0.1691210029457701,0.8152312518320598
2008-09-01,3,Slowdown,0.0010572858946874034,0.004102890570586778,0.15327387623570302,0.8415659472990228
2008-10-01,3,Slowdown,0.00031779314436477716,0.0012213323646024362,0.015298026171765164,0.9831628483192677
2008-11-01,3,Slowdown,5.4240261370097504e-05,0.00022348306061021928,0.001465827966536938,0.9982564487114827
2008-12-01,3,Slowdown,4.719195693350828e-05,0.00011418221679659894,0.0009342683059562997,0.9989043575203137
2009-01-01,3,Slowdown,0.0008955524284285989,0.0019333410172980875,0.03955178245371462,0.9576193241005586
2009-02-01,3,Slowdown,0.0026545499826684427,0.006747451865802541,0.17051883023506573,0.8200791679164632
2009-03-01,3,Slowdown,0.0021391994832702485,0.0027759514230528233,0.020827311180175414,0.9742575379135016
2009-04-01,3,Slowdown,0.009742865092816065,0.018020147764019424,0.1977551574235912,0.7744818297195732
2009-05-01,3,Slowdown,0.013133595276779186,0.020898093428420878,0.15090657802883845,0.8150617332659614
2009-06-01,2,Stagflation,0.005758783276314148,0.06700711400555988,0.6923838348412596,0.23485026787686636
2009-07-01,3,Slowdown,0.056569584157180865,0.03800216553477433,0.122571576529365,0.7828566737786797
2009-08-01,2,Stagflation,0.04907232307946937,0.19293017213242716,0.43648329329399826,0.3215142114941052
2009-09-01,3,Slowdown,0.24281924898311538,0.23613230044125347,0.18104315995173398,0.34000529062389706
2009-10-01,1,Overheating,0.0465341254497191,0.6223425217429065,0.10167793456870668,0.2294454182386677
2009-11-01,1,Overheating,0.11937645707769205,0.4234406639456405,0.17660803898215094,0.2805748399945165
2009-12-01,3,Slowdown,0.23579708951252754,0.09942467529679996,0.170904012670636,0.49387422252003654
2010-01-01,3,Slowdown,0.05659422213980677,0.10844292171963822,0.4090874724225732,0.4258753837179818
2010-02-01,3,Slowdown,0.21960892214506567,0.07380155361693858,0.1492896114958798,0.5572999127421159
2010-03-01,3,Slowdown,0.2607110971894378,0.19099423901625928,0.18137491020716623,0.36691975358713674
2010-04-01,0,Goldilocks,0.5784132862856914,0.10015809271424338,0.09074755138414024,0.230681069615925
2010-05-01,0,Goldilocks,0.4946007004197468,0.09821814251676841,0.11153975794140665,0.29564139912207804
2010-06-01,3,Slowdown,0.3865562131819665,0.08173990831795516,0.12209789660138474,0.40960598189869357
2010-07-01,3,Slowdown,0.2995297430475443,0.13128957612328415,0.16383445997594717,0.4053462208532244
2010-08-01,3,Slowdown,0.17369492781467163,0.1521687808072524,0.22345258261002962,0.4506837087680465
2010-09-01,3,Slowdown,0.1479323817755203,0.10151185309847122,0.20804368382772567,0.5425120812982829
2010-10-01,2,Stagflation,0.029186438885569224,0.1481353451368615,0.5492960235910369,0.2733821923865324
2010-11-01,3,Slowdown,0.03175991583949846,0.05791194406121601,0.3989156535030458,0.5114124865962397
2010-12-01,3,Slowdown,0.016167117214037723,0.035473909065298,0.4208188816486911,0.5275400920719732
2011-01-01,2,Stagflation,0.00815835801968923,0.02400982860050027,0.5104390686769719,0.4573927447028385
2011-02-01,2,Stagflation,0.013471016059478643,0.03767326359503034,0.5863889178379437,0.3624668025075474
2011-03-01,2,Stagflation,0.013109620022139867,0.08883333631374866,0.6847092747068416,0.2133477689572699
2011-04-01,2,Stagflation,0.028539654518935705,0.30546593969366814,0.3721501896518008,0.2938442161355953
2011-05-01,2,Stagflation,0.02845318722523306,0.10130958244193598,0.6012893560392192,0.2689478742936118
2011-06-01,3,Slowdown,0.03373638273408361,0.019460602249836954,0.08026896947793724,0.8665340455381422
